nClusters,dist,PCA,nTopics,silhouetteValue,Acc_FirtsPartyWinner,Acc_IssueArea
2,0.9188353374559897,2,2,0.7851003153755364,0.51952770208901,0.08628519527702089
7,0.26263716326244724,2,2,0.7198609276803265,0.12897366030881016,0.08083560399636694
12,0.16341023076695183,2,2,0.7132279001905929,0.09657886769603391,0.1307901907356948
17,0.11904370088813958,2,2,0.7010734144894184,0.09657886769603391,0.11474417196488042
22,0.08827310109945687,2,2,0.6727738279088908,0.07054193157735392,0.09567060248259159
27,0.07024348178165271,2,2,0.6402516375252197,0.07054193157735392,0.08113835906751438
32,0.06145251727421643,2,2,0.6388277417063438,0.07054193157735392,0.08083560399636694
37,0.05360427824727911,2,2,0.624014660066791,0.07054193157735392,0.08023009385407205
2,1.3124050378318435,2,42,0.5671718435262164,0.574326369966697,0.06388132001211021
7,0.6475402398277414,2,42,0.3717363955969928,0.26309415682712683,0.08658795034816834
12,0.5164031861777905,2,42,0.3745849366029867,0.23917650620647896,0.1111111111111111
17,0.3677390401347063,2,42,0.3247555460267334,0.22706630336058128,0.10535876475930972
22,0.35093022720885975,2,42,0.27278687985988387,0.1604601877081441,0.0768997880714502
27,0.31135220546295594,2,42,0.27264468413990045,0.1604601877081441,0.07629427792915532
32,0.29531426626779544,2,42,0.2856482173206769,0.14380865879503482,0.06842264607932183
37,0.25778976270585374,2,42,0.28162186433560027,0.14380865879503482,0.06781713593702694
2,5.38367016403194,42,42,0.01759562543170652,0.5828035119588253,0.06357856494096276
7,4.480236160804766,42,42,0.027053396693060422,0.3409022101120194,0.10021192854980321
12,4.250499280961362,42,42,0.035862275304550266,0.3142597638510445,0.07599152285800786
17,4.020944386163571,42,42,0.055290857600469374,0.27308507417499245,0.07811080835603997
22,3.8672558342961048,42,42,0.07802845057839286,0.1952770208900999,0.045413260672116255
27,3.7441967076833285,42,42,0.08398339129625557,0.19467151074780503,0.04087193460490463
32,3.6426521869762043,42,42,0.12479126537007544,0.11898274296094459,0.0420829548894944
37,3.5765095851595845,42,42,0.16837186104130283,0.05449591280653951,0.014532243415077202
2,1.4618336856519312,2,82,0.6645243945036458,0.6376021798365122,0.044202240387526494
7,0.6631639022803556,2,82,0.5016076341889456,0.4659400544959128,0.05782621858916137
12,0.46500920040655447,2,82,0.43870412704226625,0.3957008779897063,0.04632152588555858
17,0.3713691858840155,2,82,0.45754096464951016,0.36542537087496213,0.09234029669996972
22,0.31614619951607037,2,82,0.47083042957526056,0.32485619134120497,0.08749621556161066
27,0.2751369228245813,2,82,0.46242966537673663,0.322131395700878,0.08991825613079019
32,0.24230952488129637,2,82,0.46582333837334583,0.3206176203451408,0.0841659097789888
37,0.22688099617279295,2,82,0.40369952614044075,0.3100211928549803,0.0841659097789888
2,6.019134789547139,42,82,0.007632181541678789,0.5370874962155616,0.0914320314865274
7,4.984720111630401,42,82,0.017539613019646096,0.4420224038752649,0.06993642143505904
12,4.774535457730559,42,82,0.024782097061685392,0.28398425673630034,0.0653950953678474
17,4.531557683514155,42,82,0.02490694127006078,0.21586436572812595,0.05903723887375113
22,4.269760125711239,42,82,0.0477917777194866,0.10202845897668786,0.0602482591583409
27,4.147406477340939,42,82,0.057066386118328635,0.03875264910687254,0.05752346351801393
32,3.940062878780025,42,82,0.07462102196047841,0.03451407811080836,0.04904632152588556
37,3.8029840408452604,42,82,0.08251717836053808,0.03451407811080836,0.04783530124129579
2,6.9160231123157745,82,82,0.0234708384434433,0.6076294277929155,0.056917953375719046
7,6.003167154080755,82,82,0.02108499986740699,0.3614895549500454,0.0711474417196488
12,5.70608675370346,82,82,0.01817443377853355,0.34120496518316684,0.05631244323342416
17,5.401925337227384,82,82,0.025437475798075464,0.09839539812291856,0.07871631849833485
22,5.2462985960607424,82,82,0.027062918597532935,0.07235846200423857,0.07084468664850137
27,5.135337857337625,82,82,0.031376289818602895,0.05328489252194974,0.0420829548894944
32,4.940413066702587,82,82,0.036785724278023416,0.05328489252194974,0.04238570996064184
37,4.816819614370311,82,82,0.05039646586864705,0.044807750529821375,0.02966999697244929
2,1.1219960206945978,2,122,0.633777042810727,0.6412352406902816,0.042991220102936725
7,0.4599636917191897,2,122,0.5309796640390537,0.5216469875870421,0.05752346351801393
12,0.3443767824028032,2,122,0.5591303261462542,0.3823796548592189,0.04965183166818044
17,0.25161223833550356,2,122,0.5430268287994258,0.37723281864971236,0.04450499545867393
22,0.21620844724595925,2,122,0.3210629078197255,0.20587344838026037,0.05903723887375113
27,0.18707508091654573,2,122,0.2506349009468243,0.14683620950650925,0.14623069936421434
32,0.16572531706082197,2,122,0.23914661211525484,0.14653345443536178,0.12655161973963064
37,0.14870099931125252,2,122,0.27243722634455697,0.14653345443536178,0.12110202845897669
2,6.048434595899972,42,122,-0.034860493346075556,0.5782621858916137,0.07145019679079624
7,5.297961870913467,42,122,-0.022433993413793738,0.36633363608840447,0.05086285195277021
12,4.868350248285178,42,122,0.0006821608051081011,0.35876475930971846,0.049349076597033
17,4.523688357367197,42,122,0.013790900806530044,0.35876475930971846,0.044807750529821375
22,4.257168911378097,42,122,0.018734530181576163,0.329700272479564,0.043596730245231606
27,4.161396799435137,42,122,0.00892913492454862,0.2576445655464729,0.07205570693309113
32,3.929444646252139,42,122,0.03164230316102834,0.2576445655464729,0.0711474417196488
37,3.7535311182361633,42,122,0.03858167073835229,0.0384498940357251,0.07175295186194369
2,8.027515167863907,82,122,0.14228017785495603,0.6418407508325764,0.042991220102936725
7,6.984291796787243,82,122,0.02974038092058665,0.13805631244323344,0.08325764456554648
12,6.602025658874861,82,122,0.029217176937205477,0.12079927338782924,0.07962458371177718
17,6.223457557649709,82,122,0.016684673172242665,0.0805328489252195,0.07568876778686043
22,6.0129302794698445,82,122,0.018300210794916234,0.0805328489252195,0.08719346049046321
27,5.78225783840336,82,122,0.03041650105764689,0.062367544656372995,0.08446866485013624
32,5.598730829832909,82,122,0.034890074648115006,0.05812897366030881,0.06872540115046927
37,5.468957331995225,82,122,0.012773331458152785,0.05782621858916137,0.08174386920980926
2,9.19249907317789,122,122,0.03177202956866198,0.6254919769906145,0.04389948531637905
7,7.778875433152177,122,122,0.017791220829705773,0.16015743263699667,0.0914320314865274
12,7.325604282957404,122,122,0.017887932952417404,0.0711474417196488,0.07508325764456554
17,6.965305692062248,122,122,0.018728660123600967,0.0675143808658795,0.0768997880714502
22,6.743448545621076,122,122,0.01865109559644602,0.0660006055101423,0.09324856191341205
27,6.552749831684181,122,122,-0.00928467902360009,0.02482591583409022,0.049349076597033
32,6.410030858803726,122,122,0.00023948177572134512,0.02482591583409022,0.04692703602785347
37,6.275805743573545,122,122,0.008283804549660627,0.021495610051468363,0.030578262185891613
2,1.0663076250443015,2,162,0.6903156322672006,0.6257947320617621,0.048138056312443236
7,0.4889952191121034,2,162,0.4239277142803418,0.3902512867090524,0.04874356645473812
12,0.3307600328649759,2,162,0.3767297726204707,0.38268240993036634,0.06690887072358462
17,0.22456192052841722,2,162,0.4210072744574031,0.24916742355434454,0.174084165909779
22,0.2029476671188976,2,162,0.4571111411626587,0.20224038752649107,0.1640932485619134
27,0.18215930695822782,2,162,0.45600109566262637,0.20224038752649107,0.15834090221011202
32,0.1675655697996165,2,162,0.4498951703267864,0.20224038752649107,0.1522858007871632
37,0.14769843326902754,2,162,0.42204640950813993,0.18982742960944596,0.13169845594913715
2,6.003201290000875,42,162,0.12620690471195026,0.37329700272479566,0.15864365728125945
7,5.06537997738457,42,162,0.053254183919969264,0.29851650015137754,0.11625794732061762
12,4.818235672138018,42,162,0.04503276552574888,0.2524977293369664,0.1168634574629125
17,4.547114031322854,42,162,0.05198165711737036,0.2509839539812292,0.12503784438389343
22,4.2919792518981135,42,162,0.05538895170073193,0.19830457160157433,0.11928549803209204
27,4.070383839582001,42,162,0.059685593472103296,0.19769906145927943,0.11837723281864972
32,3.8736588226816586,42,162,0.07761579325676295,0.19769906145927943,0.08991825613079019
37,3.63831793182274,42,162,0.0753239579345633,0.1344232515894641,0.07871631849833485
2,8.401219027482972,82,162,0.16645559739068316,0.641537995761429,0.04783530124129579
7,7.243482670647664,82,162,0.02851522915820364,0.5243717832273691,0.07508325764456554
12,6.872237306952832,82,162,-0.009216511227161047,0.23857099606418408,0.07871631849833485
17,6.4491830324488495,82,162,-1.4569464939861094e-05,0.23857099606418408,0.07720254314259764
22,6.240530591410665,82,162,0.0032730248903425256,0.08537693006357856,0.08870723584620042
27,6.119134399577031,82,162,0.007036368789057033,0.08295488949439903,0.07932182864062973
32,5.822830194802538,82,162,0.020249920739732155,0.08113835906751438,0.07568876778686043
37,5.711263945954157,82,162,0.022868794589146802,0.08083560399636694,0.07356948228882834
2,10.588574816366597,122,162,0.007940802574681946,0.5479866787768695,0.07296397214653345
7,8.848263047398467,122,162,-0.008793348245557976,0.46139872842870117,0.06478958522555253
12,8.40312467819824,122,162,-0.015810612446922306,0.42779291553133514,0.08325764456554648
17,8.069043140891939,122,162,-0.012640174585199103,0.4268846503178928,0.07387223735997578
22,7.7966664509757075,122,162,-0.017639738219032464,0.4247653648198607,0.07629427792915532
27,7.479419214259605,122,162,-0.010288417913364966,0.40084771419921283,0.06509234029669997
32,7.28225358241174,122,162,-0.016926757624675805,0.3905540417801998,0.06145927944293067
37,7.155654278664277,122,162,-0.0065026972530145746,0.3042688465031789,0.06509234029669997
2,11.257935405012232,162,162,-0.0021670167945891223,0.5446563729942476,0.08144111413866183
7,9.203545519180242,162,162,-0.001892187423575149,0.3405994550408719,0.16560702391765061
12,8.821230569125476,162,162,-0.0032108059332690555,0.33999394489857704,0.15622161671207993
17,8.456417262074668,162,162,0.0006680511277421453,0.2873145625189222,0.05631244323342416
22,8.276360852159637,162,162,-0.001083603819725872,0.2873145625189222,0.06872540115046927
27,8.062877161181648,162,162,0.001694605735939729,0.26733272782319106,0.049954586739327886
32,7.92694267710313,162,162,0.004254720590976282,0.24190130184680594,0.04753254617014835
37,7.67230919209342,162,162,0.001276907089348347,0.24159854677565848,0.04238570996064184
